instrument_name,panel,cell,description,manufacturer,intern_calib,model,serial,units,last_calib,due_calib,po,cost,recv_date,certified,assigned_to,status,notes
06HI-1073,06HI-1073,ALMACEN CENTRAL,BASCULA DIG.,SARTORIUS,FALSE,ENTRIS A32,34209311,0 A 320 GRS,1/5/2022,,nan,,12/27/2016,TRUE,SUP. ALMACEN,INACTIVO,SCRAP
06HI-1074,06HI-1074,ALMACEN CENTRAL MESANINE,BASCULA DIG.,SARTORIUS,FALSE,ENTRIS 323,34209313,0 A 320 GRS,12/1/2022,6/30/2023,nan,,12/27/2016,TRUE,SUP. ALMACEN,ACTIVO,EXT-PLANTA
04CI-1214,JAULA SECADORES,CONTROLADORES,PRESSURE GAGE,AIRSERCO,FALSE,nan,nan,0 2000 MICRONES,3/1/2023,3/31/2024,nan,,10/10/2010,TRUE,SUP.SECADORES,ACTIVO,EXT-PLT.
06LV-0977,06LV-0977,GAVETA MAXIM,THD. PLUG GAGE,GACO,TRUE,nan,nan,10-32 UNF-2B,1/4/2023,1/31/2025,nan,,1/4/2017,TRUE,SUP.MAQUINADOS,ACTIVO,INTERNO
06NV-0967,06NV-0967,WATER,PIN GAGE,nan,TRUE,nan,nan,GO.279   NO GO .283,3/1/2023,3/31/2025,nan,,1/4/2017,TRUE,SUP.MAQUINADOS,ACTIVO,INTERNO
06ZV-0221,06zv-0221,FLARE,GAGE,JCI,TRUE,nan,nan,0.270”  0.500”,11/1/2022,11/30/2024,nan,,11/1/2016,TRUE,SUP. MAQUINADOS,ACTIVO,INTERNO
06lv-0978,06lv-0978,WATER,THD. PLUG GAGE,GAGE ASSEMBLY,FALSE,RC 1 1/4 1,nan,1 1/4 -11 Z 5-00,12/1/2022,12/31/2024,nan,,12/1/2016,TRUE,SUP.MAQUINADOS,ACTIVO,EXT-LAB
06QV-0580,06QV-0580,WATER,THD. RING GAGE,HEMCO,FALSE,nan,nan,GO 29.350 NO GO29.270,11/30/2021,,nan,,1/6/2016,TRUE,SUP. WATER,INACTIVO,CAJON DE INACTIVOS
04DE-0214,04DE-0214,CARRIER,PRESSURE GAGE,MENSOR,FALSE,CPC2000,6504916,"1 A 1,000 MBAR",12/1/2022,12/31/2023,nan,,1/12/2017,TRUE,SUP. ACTUADORES,ACTIVO,EX-PLT
05AE-0146,05AE-0146,C-450 C/ REFRECH,DECADA DE RESISTENCIA,IET LAB,FALSE,OS-260,D1-1616053,nan,4/1/2023,4/30/2024,nan,,1/13/2017,TRUE,SUP. SENSORES,ACTIVO,EXT-PLT T
